city,hotel_type,price_lkr,transport_lkr,meal_lkr,tuk_tuk_lkr_per_km,bus_lkr,train_lkr,taxi_lkr,season,tourist_rating
Ella,Budget,2818,1571,625,150,100,400,1200,peak,3.3
Polonnaruwa,5-star,8317,2808,2014,200,130,410,1550,off-peak,4.5
Galle,5-star,21108,1439,4763,160,100,450,1000,peak,3.8
Ella,Budget,4224,1142,524,150,100,400,1200,off-peak,4.1
Polonnaruwa,Mid-range,3773,2481,1055,200,130,410,1550,off-peak,4.3
Colombo,5-star,12255,2432,5096,100,60,0,800,off-peak,4.7
Polonnaruwa,5-star,9318,1886,5982,200,130,410,1550,off-peak,4.1
Ella,Mid-range,4590,1695,1655,150,100,400,1200,off-peak,4.9
Nuwara Eliya,Budget,3837,1412,367,170,110,380,1300,off-peak,3.4
Sigiriya,5-star,24594,906,2185,200,150,0,1500,peak,4.8
Nuwara Eliya,Budget,2931,2660,312,170,110,380,1300,off-peak,4.3
Nuwara Eliya,Budget,2459,2492,354,170,110,380,1300,peak,3.3
Sigiriya,Budget,4133,803,553,200,150,0,1500,peak,3.3
Kandy,Mid-range,9922,1145,1953,120,80,350,900,peak,4.1
Anuradhapura,Mid-range,3812,2397,1966,210,140,420,1600,off-peak,3.6
Polonnaruwa,5-star,10274,1790,4661,200,130,410,1550,peak,5.0
Kandy,5-star,14419,829,2746,120,80,350,900,off-peak,3.5
Galle,Budget,3878,2981,311,160,100,450,1000,off-peak,3.5
Galle,Mid-range,7239,2189,1855,160,100,450,1000,peak,4.9
Polonnaruwa,Budget,2822,1417,708,200,130,410,1550,peak,3.5
Trincomalee,5-star,13398,2017,4959,190,130,0,1400,off-peak,3.6
Mirissa,Mid-range,6587,1929,844,180,120,500,1100,peak,5.0
Kandy,Mid-range,5316,2325,928,120,80,350,900,peak,4.5
Trincomalee,Mid-range,5764,1037,1393,190,130,0,1400,peak,3.8
Galle,5-star,18033,2328,3497,160,100,450,1000,peak,4.3
Sigiriya,Budget,3001,1553,557,200,150,0,1500,peak,3.7
Anuradhapura,Budget,1908,1245,396,210,140,420,1600,off-peak,3.2
Nuwara Eliya,Budget,3944,2613,676,170,110,380,1300,peak,3.0
Galle,5-star,17081,1891,2542,160,100,450,1000,off-peak,3.8
Anuradhapura,Budget,2999,982,540,210,140,420,1600,peak,4.4
Anuradhapura,Budget,2642,1279,610,210,140,420,1600,off-peak,3.5
Mirissa,Budget,3706,1242,712,180,120,500,1100,peak,4.5
Colombo,Mid-range,11697,709,935,100,60,0,800,off-peak,4.7
Nuwara Eliya,5-star,17513,1231,3196,170,110,380,1300,peak,3.3
Colombo,5-star,29497,2889,2780,100,60,0,800,off-peak,4.1
Polonnaruwa,5-star,11372,1567,4067,200,130,410,1550,peak,3.8
Galle,Budget,3251,2433,534,160,100,450,1000,off-peak,4.2
Colombo,5-star,23958,2457,3718,100,60,0,800,off-peak,4.6
Sigiriya,Budget,4548,2890,793,200,150,0,1500,peak,4.0
Polonnaruwa,Mid-range,3568,2916,1653,200,130,410,1550,off-peak,4.6
Anuradhapura,Mid-range,4902,2145,1651,210,140,420,1600,off-peak,3.4
Trincomalee,Mid-range,5671,900,1472,190,130,0,1400,peak,4.7
Sigiriya,Mid-range,7587,1964,875,200,150,0,1500,peak,5.0
Galle,5-star,16300,1208,4646,160,100,450,1000,peak,4.4
Nuwara Eliya,Mid-range,6100,940,1202,170,110,380,1300,peak,3.2
Polonnaruwa,Budget,2626,1280,675,200,130,410,1550,off-peak,4.2
Colombo,5-star,18153,745,2200,100,60,0,800,peak,3.9
Nuwara Eliya,Budget,3572,2233,584,170,110,380,1300,peak,4.6
Anuradhapura,5-star,10208,2033,4726,210,140,420,1600,peak,3.7
Trincomalee,5-star,11803,2405,2640,190,130,0,1400,peak,3.3
Ella,5-star,11969,1641,2877,150,100,400,1200,peak,3.4
Galle,Mid-range,6899,817,1041,160,100,450,1000,off-peak,3.9
Nuwara Eliya,Mid-range,7205,2139,1549,170,110,380,1300,off-peak,3.7
Colombo,Mid-range,6240,2916,1737,100,60,0,800,off-peak,4.0
Anuradhapura,5-star,6781,1760,5692,210,140,420,1600,peak,4.5
Trincomalee,5-star,12959,2584,4183,190,130,0,1400,off-peak,4.3
Kandy,Mid-range,6236,1767,1074,120,80,350,900,peak,4.1
Polonnaruwa,5-star,10904,1330,4490,200,130,410,1550,peak,3.4
Polonnaruwa,5-star,8023,2461,5594,200,130,410,1550,peak,4.0
Kandy,Mid-range,5559,2382,1248,120,80,350,900,off-peak,3.8
Colombo,5-star,18162,1300,2472,100,60,0,800,off-peak,4.9
Polonnaruwa,Mid-range,4477,2409,1858,200,130,410,1550,off-peak,3.2
Polonnaruwa,Mid-range,4438,2372,1291,200,130,410,1550,peak,3.1
Kandy,5-star,20043,1572,4271,120,80,350,900,peak,3.4
Sigiriya,Budget,4019,1105,796,200,150,0,1500,peak,3.5
Kandy,5-star,23024,2039,5462,120,80,350,900,off-peak,4.4
Sigiriya,Mid-range,6019,2570,1604,200,150,0,1500,peak,3.4
Anuradhapura,Mid-range,3424,2398,1062,210,140,420,1600,off-peak,4.3
Sigiriya,Mid-range,10275,2272,1716,200,150,0,1500,peak,4.2
Anuradhapura,Mid-range,4595,2928,855,210,140,420,1600,peak,3.5
Colombo,5-star,22856,2606,4023,100,60,0,800,off-peak,3.6
Nuwara Eliya,Mid-range,4004,2603,1251,170,110,380,1300,off-peak,4.5
Trincomalee,Budget,2175,2705,474,190,130,0,1400,off-peak,3.7
Kandy,Mid-range,5782,1223,1526,120,80,350,900,off-peak,4.0
Polonnaruwa,Budget,1649,1777,777,200,130,410,1550,peak,3.6
Colombo,Budget,5468,2228,488,100,60,0,800,off-peak,3.5
Colombo,Mid-range,9543,2916,1912,100,60,0,800,peak,4.4
Anuradhapura,Mid-range,5587,2993,1560,210,140,420,1600,off-peak,4.0
Ella,Budget,4407,736,547,150,100,400,1200,peak,3.1
Nuwara Eliya,5-star,11207,874,5286,170,110,380,1300,peak,3.7
Mirissa,Mid-range,7391,2174,1733,180,120,500,1100,peak,4.4
Polonnaruwa,5-star,11429,878,3452,200,130,410,1550,off-peak,4.4
Ella,Budget,3529,2441,501,150,100,400,1200,peak,3.4
Ella,5-star,11447,711,4206,150,100,400,1200,peak,3.6
Anuradhapura,Mid-range,5444,2187,1371,210,140,420,1600,off-peak,4.3
Kandy,Mid-range,5418,2036,934,120,80,350,900,off-peak,3.9
Nuwara Eliya,5-star,14681,1166,3278,170,110,380,1300,peak,4.0
Galle,Mid-range,7184,2524,1461,160,100,450,1000,off-peak,4.1
Colombo,Budget,5256,615,337,100,60,0,800,peak,4.2
Galle,5-star,20158,2707,4692,160,100,450,1000,off-peak,3.3
Polonnaruwa,Mid-range,5871,2205,1684,200,130,410,1550,off-peak,4.3
Kandy,5-star,12312,1135,4455,120,80,350,900,peak,4.2
Sigiriya,Budget,4276,2566,754,200,150,0,1500,peak,5.0
Kandy,5-star,21271,1114,3040,120,80,350,900,off-peak,3.4
Sigiriya,5-star,11334,692,2876,200,150,0,1500,peak,3.8
Ella,Budget,3451,2020,656,150,100,400,1200,off-peak,4.2
Kandy,Budget,4851,861,542,120,80,350,900,peak,3.2
Trincomalee,Budget,3189,1270,567,190,130,0,1400,peak,3.3
Ella,5-star,17475,2977,5060,150,100,400,1200,off-peak,3.5
Colombo,Budget,4500,1267,532,100,60,0,800,peak,4.1
Trincomalee,Budget,2311,1402,528,190,130,0,1400,peak,3.7
Nuwara Eliya,Budget,2194,1944,578,170,110,380,1300,off-peak,3.6
Sigiriya,Budget,3247,996,624,200,150,0,1500,peak,4.6
Ella,5-star,15291,1049,2569,150,100,400,1200,off-peak,3.1
Kandy,Budget,3548,2007,640,120,80,350,900,peak,4.2
Anuradhapura,5-star,9507,1135,4771,210,140,420,1600,peak,4.1
Anuradhapura,Budget,2320,777,779,210,140,420,1600,off-peak,3.8
Polonnaruwa,Mid-range,4875,2498,1824,200,130,410,1550,peak,4.8
Mirissa,Budget,2982,771,779,180,120,500,1100,off-peak,4.5
Colombo,Budget,5571,2598,762,100,60,0,800,peak,4.3
Mirissa,Budget,2447,2467,622,180,120,500,1100,off-peak,4.0
Anuradhapura,5-star,10816,1295,2887,210,140,420,1600,off-peak,3.9
Galle,Budget,2267,2899,517,160,100,450,1000,off-peak,3.9
Trincomalee,Mid-range,6569,825,890,190,130,0,1400,peak,3.1
Kandy,5-star,15765,826,2424,120,80,350,900,peak,4.1
Colombo,Mid-range,9196,2360,1140,100,60,0,800,off-peak,4.8
Polonnaruwa,Mid-range,4460,1112,1131,200,130,410,1550,peak,3.6
Polonnaruwa,Budget,2034,1969,796,200,130,410,1550,peak,3.7
Colombo,Mid-range,7056,1233,1616,100,60,0,800,peak,3.9
Kandy,5-star,15264,766,4137,120,80,350,900,off-peak,4.7
Ella,Budget,2236,1021,330,150,100,400,1200,off-peak,4.3
Sigiriya,5-star,16120,2243,2459,200,150,0,1500,off-peak,4.0
Ella,5-star,18637,1619,3218,150,100,400,1200,peak,3.2
Sigiriya,Mid-range,5222,2977,1752,200,150,0,1500,off-peak,3.6
Ella,Budget,3424,2324,687,150,100,400,1200,off-peak,4.3
Trincomalee,Mid-range,5841,2054,1246,190,130,0,1400,off-peak,4.2
Nuwara Eliya,5-star,17228,1366,5734,170,110,380,1300,peak,3.9
Kandy,Mid-range,6169,2648,1351,120,80,350,900,off-peak,4.7
Galle,Budget,2301,1237,590,160,100,450,1000,off-peak,3.1
Ella,5-star,18727,2776,5385,150,100,400,1200,peak,4.4
Nuwara Eliya,5-star,15115,913,4512,170,110,380,1300,peak,3.5
Polonnaruwa,5-star,7770,1904,2058,200,130,410,1550,peak,4.0
Mirissa,Mid-range,6935,574,1001,180,120,500,1100,off-peak,3.0
Trincomalee,Budget,2532,772,427,190,130,0,1400,off-peak,4.2
Colombo,Mid-range,9340,2646,806,100,60,0,800,off-peak,3.1
Nuwara Eliya,Mid-range,7745,2948,1170,170,110,380,1300,peak,3.9
Trincomalee,5-star,12331,2551,5708,190,130,0,1400,peak,4.2
Galle,5-star,20766,2950,2688,160,100,450,1000,peak,4.8
Sigiriya,Mid-range,9617,893,1676,200,150,0,1500,off-peak,3.7
Trincomalee,Budget,2331,2911,604,190,130,0,1400,peak,3.2
Polonnaruwa,Budget,2070,1685,378,200,130,410,1550,peak,4.7
Colombo,5-star,26439,2129,2476,100,60,0,800,off-peak,3.9
Galle,Mid-range,5520,1395,1587,160,100,450,1000,off-peak,3.1
Polonnaruwa,Mid-range,4057,1048,1080,200,130,410,1550,off-peak,3.6
Nuwara Eliya,Mid-range,5921,2987,818,170,110,380,1300,off-peak,4.3
Mirissa,Mid-range,7441,695,1382,180,120,500,1100,off-peak,4.8
Ella,5-star,18855,2156,5311,150,100,400,1200,peak,4.5
Colombo,Budget,5211,576,401,100,60,0,800,peak,4.8
Trincomalee,Budget,2393,2888,378,190,130,0,1400,off-peak,3.7
Anuradhapura,Mid-range,3344,1066,1210,210,140,420,1600,off-peak,3.4
Nuwara Eliya,Budget,3925,2808,392,170,110,380,1300,off-peak,3.1
Anuradhapura,Budget,1974,2766,304,210,140,420,1600,off-peak,3.9
Kandy,Budget,3620,2858,700,120,80,350,900,off-peak,4.8
Kandy,5-star,24489,1719,2804,120,80,350,900,peak,3.8
Ella,Mid-range,8628,1415,872,150,100,400,1200,off-peak,4.0
Mirissa,Mid-range,5813,2894,1750,180,120,500,1100,off-peak,4.7
Ella,Mid-range,4629,2603,1313,150,100,400,1200,peak,3.0
Galle,Budget,4144,854,602,160,100,450,1000,off-peak,3.7
Galle,5-star,16010,1723,4433,160,100,450,1000,off-peak,3.8
Trincomalee,Mid-range,3789,1929,1244,190,130,0,1400,off-peak,4.1
Trincomalee,5-star,12585,2580,2430,190,130,0,1400,peak,4.7
Mirissa,Mid-range,5554,731,1650,180,120,500,1100,peak,3.5
Nuwara Eliya,Mid-range,6846,582,1089,170,110,380,1300,peak,4.0
Sigiriya,Mid-range,8283,2966,884,200,150,0,1500,peak,3.6
Sigiriya,Mid-range,6075,1835,1548,200,150,0,1500,peak,4.0
Anuradhapura,Mid-range,5524,559,924,210,140,420,1600,peak,4.4
Galle,Mid-range,5156,918,1655,160,100,450,1000,off-peak,4.1
Anuradhapura,5-star,6829,1140,5164,210,140,420,1600,peak,4.8
Sigiriya,5-star,27432,2905,2242,200,150,0,1500,off-peak,3.6
Sigiriya,5-star,19282,2372,5365,200,150,0,1500,peak,4.2
Trincomalee,Mid-range,3926,1129,1102,190,130,0,1400,off-peak,4.5
Colombo,Budget,4043,811,475,100,60,0,800,peak,4.9
Nuwara Eliya,5-star,13585,1128,2415,170,110,380,1300,peak,4.3
Galle,Mid-range,5792,603,1181,160,100,450,1000,off-peak,4.0
Anuradhapura,Budget,1951,812,380,210,140,420,1600,peak,4.0
Galle,5-star,19580,2114,5815,160,100,450,1000,peak,4.6
Galle,Mid-range,8918,2418,1592,160,100,450,1000,peak,4.3
Galle,Mid-range,8323,2567,1317,160,100,450,1000,peak,3.5
Sigiriya,5-star,13196,1317,3109,200,150,0,1500,peak,4.6
Nuwara Eliya,5-star,9313,2517,3322,170,110,380,1300,off-peak,4.8
Galle,Budget,3937,2184,367,160,100,450,1000,off-peak,3.3
Nuwara Eliya,5-star,12285,2645,5382,170,110,380,1300,peak,4.8
Mirissa,5-star,11037,2078,5291,180,120,500,1100,off-peak,4.7
Anuradhapura,5-star,7322,2339,4707,210,140,420,1600,off-peak,4.0
Nuwara Eliya,Mid-range,7249,2632,937,170,110,380,1300,off-peak,3.4
Anuradhapura,Mid-range,4978,518,1929,210,140,420,1600,off-peak,4.6
Polonnaruwa,Mid-range,4015,2059,1774,200,130,410,1550,off-peak,4.3
Anuradhapura,Mid-range,4867,717,1257,210,140,420,1600,off-peak,4.2
Galle,Mid-range,8665,2160,1192,160,100,450,1000,peak,4.6
Mirissa,Mid-range,7069,523,1017,180,120,500,1100,off-peak,4.6
Kandy,5-star,22560,2413,3449,120,80,350,900,peak,3.1
Nuwara Eliya,5-star,14036,2016,5056,170,110,380,1300,off-peak,4.3
Galle,5-star,12600,2095,3734,160,100,450,1000,peak,3.0
Colombo,Mid-range,6938,1623,1685,100,60,0,800,peak,3.6
Colombo,Mid-range,6695,1705,1744,100,60,0,800,off-peak,4.6
Mirissa,5-star,16603,578,3215,180,120,500,1100,off-peak,3.3
Trincomalee,Budget,2312,2823,740,190,130,0,1400,peak,4.4
Nuwara Eliya,5-star,11848,868,2085,170,110,380,1300,peak,4.0
Ella,5-star,12847,1870,3079,150,100,400,1200,peak,5.0
Sigiriya,Mid-range,9453,2781,803,200,150,0,1500,peak,3.3
Anuradhapura,Mid-range,3968,2627,888,210,140,420,1600,peak,4.6
Nuwara Eliya,5-star,13192,2986,5298,170,110,380,1300,off-peak,3.7
Ella,5-star,10027,2006,5251,150,100,400,1200,peak,4.5
Mirissa,Budget,3267,1203,359,180,120,500,1100,peak,3.5
Mirissa,Budget,2947,1657,641,180,120,500,1100,peak,4.7
Kandy,Mid-range,6402,1467,1364,120,80,350,900,peak,4.3
Sigiriya,Budget,4711,2902,783,200,150,0,1500,peak,4.1
Colombo,5-star,12936,1011,4938,100,60,0,800,peak,4.4
Mirissa,5-star,9854,1761,4690,180,120,500,1100,off-peak,4.2
Mirissa,5-star,11524,1956,5067,180,120,500,1100,peak,4.4
Colombo,Budget,5689,1164,586,100,60,0,800,off-peak,3.9
Kandy,Mid-range,8257,1715,837,120,80,350,900,peak,4.7
Mirissa,Mid-range,7641,1150,842,180,120,500,1100,peak,4.4
Colombo,Mid-range,7006,1976,1438,100,60,0,800,peak,3.7
Trincomalee,5-star,11175,2693,5427,190,130,0,1400,peak,3.7
Sigiriya,5-star,14047,608,5384,200,150,0,1500,peak,4.8
Galle,Budget,4365,1630,406,160,100,450,1000,off-peak,4.3
Galle,Budget,3128,2872,515,160,100,450,1000,peak,3.2
Anuradhapura,5-star,7232,1053,5147,210,140,420,1600,off-peak,4.3
Mirissa,5-star,16301,2011,4750,180,120,500,1100,peak,4.8
Trincomalee,Mid-range,4907,936,1480,190,130,0,1400,peak,3.2
Kandy,Mid-range,7283,1201,1788,120,80,350,900,peak,4.8
Colombo,Budget,3944,2639,527,100,60,0,800,peak,5.0
Mirissa,5-star,14428,1109,4072,180,120,500,1100,off-peak,3.0
Colombo,Mid-range,9991,1019,1595,100,60,0,800,peak,5.0
Nuwara Eliya,5-star,16894,2086,4454,170,110,380,1300,peak,3.1
Galle,Budget,2452,1269,459,160,100,450,1000,peak,4.6
Kandy,Mid-range,6135,2591,985,120,80,350,900,peak,4.1
Anuradhapura,Budget,2457,578,591,210,140,420,1600,peak,5.0
Mirissa,5-star,15842,1054,3105,180,120,500,1100,off-peak,5.0
Nuwara Eliya,Mid-range,6980,2398,928,170,110,380,1300,peak,3.6
Colombo,Mid-range,11809,2882,1870,100,60,0,800,peak,4.0
Trincomalee,Mid-range,3760,1213,1138,190,130,0,1400,off-peak,3.3
Colombo,5-star,16428,2738,2969,100,60,0,800,off-peak,3.4
Galle,5-star,21328,2695,2158,160,100,450,1000,off-peak,4.6
Mirissa,5-star,14023,2957,4528,180,120,500,1100,off-peak,3.6
Trincomalee,Budget,2445,1780,324,190,130,0,1400,off-peak,3.1
Trincomalee,Mid-range,6181,875,1517,190,130,0,1400,off-peak,4.5
Trincomalee,Mid-range,6381,2330,1885,190,130,0,1400,peak,3.3
Anuradhapura,Mid-range,4528,1233,970,210,140,420,1600,peak,3.7
Nuwara Eliya,Budget,3025,1216,538,170,110,380,1300,peak,3.2
Galle,Mid-range,8369,1800,1049,160,100,450,1000,peak,3.1
Nuwara Eliya,5-star,17866,1803,4596,170,110,380,1300,off-peak,4.7
Nuwara Eliya,Budget,2507,2578,347,170,110,380,1300,peak,4.0
Mirissa,Budget,3549,2541,324,180,120,500,1100,off-peak,3.3
Kandy,Budget,4369,2461,318,120,80,350,900,off-peak,4.6
Kandy,Mid-range,5910,1737,1565,120,80,350,900,off-peak,4.3
Kandy,5-star,14540,805,2580,120,80,350,900,peak,4.1
Nuwara Eliya,5-star,13465,2868,5165,170,110,380,1300,peak,5.0
Sigiriya,5-star,16800,2988,2369,200,150,0,1500,off-peak,4.9
Kandy,5-star,22413,1254,2112,120,80,350,900,off-peak,4.3
Colombo,Budget,3096,2142,423,100,60,0,800,peak,3.9
Kandy,5-star,14303,878,2594,120,80,350,900,peak,4.9
Colombo,5-star,14744,2160,5272,100,60,0,800,off-peak,4.8
Nuwara Eliya,Budget,2052,1370,392,170,110,380,1300,peak,3.4
Mirissa,Budget,3618,1651,367,180,120,500,1100,peak,4.8
Galle,5-star,16094,2602,3202,160,100,450,1000,peak,3.7
Galle,Mid-range,6805,991,1138,160,100,450,1000,peak,3.3
Kandy,5-star,19028,1234,4324,120,80,350,900,off-peak,4.7
Anuradhapura,Mid-range,3331,1270,1964,210,140,420,1600,peak,3.5
Trincomalee,Budget,1953,1441,729,190,130,0,1400,off-peak,4.0
Polonnaruwa,5-star,11224,596,2030,200,130,410,1550,peak,3.9
Mirissa,Budget,2506,1354,339,180,120,500,1100,off-peak,4.7
Nuwara Eliya,Budget,3060,1186,622,170,110,380,1300,peak,4.4
Colombo,Mid-range,8864,2192,1760,100,60,0,800,off-peak,4.7
Mirissa,Mid-range,6013,2687,1464,180,120,500,1100,off-peak,4.2
Mirissa,Mid-range,6297,672,1666,180,120,500,1100,off-peak,4.1
Trincomalee,5-star,9561,529,4146,190,130,0,1400,off-peak,4.5
Colombo,Mid-range,9621,2326,1905,100,60,0,800,off-peak,5.0
Ella,5-star,13279,696,4153,150,100,400,1200,off-peak,3.4
Sigiriya,Budget,2534,1827,541,200,150,0,1500,off-peak,3.7
Galle,Budget,2360,1404,481,160,100,450,1000,off-peak,4.7
Trincomalee,5-star,12980,2735,4638,190,130,0,1400,peak,3.1
Ella,Mid-range,8442,619,1051,150,100,400,1200,off-peak,4.0
Trincomalee,5-star,11301,1130,5509,190,130,0,1400,peak,3.6
Colombo,Mid-range,9534,2342,1264,100,60,0,800,peak,4.9
Ella,Mid-range,5747,857,1280,150,100,400,1200,off-peak,3.1
Polonnaruwa,5-star,6263,1985,2439,200,130,410,1550,off-peak,3.9
Colombo,Mid-range,8924,592,1012,100,60,0,800,peak,3.0
Ella,5-star,16389,672,3972,150,100,400,1200,off-peak,4.0
Colombo,Budget,3106,2558,527,100,60,0,800,off-peak,4.3
Kandy,Mid-range,8687,1050,828,120,80,350,900,peak,4.8
Mirissa,5-star,11831,1946,3336,180,120,500,1100,peak,4.0
Nuwara Eliya,Mid-range,7755,2527,1397,170,110,380,1300,off-peak,4.3
Polonnaruwa,5-star,9203,562,5138,200,130,410,1550,off-peak,4.0
Anuradhapura,Budget,1717,927,542,210,140,420,1600,off-peak,4.0
Trincomalee,Budget,3158,1769,601,190,130,0,1400,peak,4.1
Anuradhapura,5-star,10197,2952,5589,210,140,420,1600,peak,4.7
Colombo,Mid-range,10584,2662,1607,100,60,0,800,peak,4.8
Anuradhapura,5-star,11743,1053,4290,210,140,420,1600,peak,4.2
Colombo,Budget,3381,622,375,100,60,0,800,peak,4.6
Polonnaruwa,Budget,2781,2912,739,200,130,410,1550,peak,4.6
Anuradhapura,5-star,6285,2270,5946,210,140,420,1600,peak,4.8
Polonnaruwa,Budget,1872,1263,797,200,130,410,1550,off-peak,4.9
Anuradhapura,5-star,6103,679,3233,210,140,420,1600,off-peak,3.5
Anuradhapura,Mid-range,4961,1328,1648,210,140,420,1600,peak,4.6
Colombo,5-star,16497,751,3905,100,60,0,800,off-peak,4.7
Sigiriya,5-star,13374,2109,4253,200,150,0,1500,peak,4.1
Polonnaruwa,5-star,9078,2615,5991,200,130,410,1550,peak,3.0
Nuwara Eliya,Mid-range,5004,988,833,170,110,380,1300,off-peak,3.3
Galle,Mid-range,6451,2204,1792,160,100,450,1000,off-peak,5.0
Galle,Budget,3434,1514,603,160,100,450,1000,peak,4.4
Colombo,5-star,29990,1177,3101,100,60,0,800,peak,3.4
Kandy,Mid-range,8053,2108,1036,120,80,350,900,off-peak,4.6
Nuwara Eliya,Mid-range,6753,2327,1033,170,110,380,1300,peak,4.5
Mirissa,5-star,8909,1140,3838,180,120,500,1100,peak,3.1
Ella,Mid-range,6667,2834,902,150,100,400,1200,peak,4.3
Colombo,Budget,4482,766,442,100,60,0,800,peak,3.6
Sigiriya,5-star,23613,1273,5985,200,150,0,1500,off-peak,3.2
Ella,5-star,12264,2609,3396,150,100,400,1200,peak,3.6
Ella,5-star,19755,2608,4647,150,100,400,1200,peak,4.5
Mirissa,5-star,9642,2894,3738,180,120,500,1100,peak,3.4
Sigiriya,Budget,4331,1870,723,200,150,0,1500,peak,5.0
Nuwara Eliya,Budget,3155,1408,584,170,110,380,1300,peak,4.0
Kandy,Budget,4176,1507,762,120,80,350,900,off-peak,4.1
Mirissa,Mid-range,6868,1550,1591,180,120,500,1100,off-peak,4.2
Mirissa,Budget,3993,2911,331,180,120,500,1100,peak,4.6
Colombo,5-star,26022,772,4233,100,60,0,800,peak,3.3
Nuwara Eliya,5-star,10265,779,2563,170,110,380,1300,peak,4.7
Polonnaruwa,Budget,2461,2736,426,200,130,410,1550,off-peak,4.5
Trincomalee,Budget,3421,2540,766,190,130,0,1400,peak,3.7
Sigiriya,Mid-range,8267,1678,1926,200,150,0,1500,peak,4.8
Mirissa,Mid-range,4262,2548,1533,180,120,500,1100,off-peak,4.0
Kandy,Mid-range,6040,1882,1815,120,80,350,900,peak,3.3
Ella,5-star,11529,2037,5600,150,100,400,1200,off-peak,3.8
Sigiriya,5-star,23385,2465,4316,200,150,0,1500,off-peak,4.9
Mirissa,Budget,2225,623,568,180,120,500,1100,off-peak,3.7
Colombo,Mid-range,8764,1786,1507,100,60,0,800,off-peak,3.1
Galle,Mid-range,6317,1110,1146,160,100,450,1000,off-peak,4.8
Galle,Budget,2618,2397,369,160,100,450,1000,off-peak,4.0
Trincomalee,5-star,11208,1317,5472,190,130,0,1400,peak,4.9
Kandy,Mid-range,7122,626,833,120,80,350,900,peak,4.7
Trincomalee,Mid-range,4385,2758,1230,190,130,0,1400,off-peak,3.6
Nuwara Eliya,5-star,13838,2173,5349,170,110,380,1300,off-peak,3.9
Anuradhapura,Budget,2437,2545,457,210,140,420,1600,peak,4.4
Ella,5-star,16632,2938,4718,150,100,400,1200,off-peak,3.3
Kandy,5-star,10688,2880,5756,120,80,350,900,off-peak,3.7
Anuradhapura,Mid-range,5753,2919,1655,210,140,420,1600,peak,3.7
Colombo,Mid-range,9989,1088,1668,100,60,0,800,off-peak,4.0
Mirissa,Budget,3285,2753,363,180,120,500,1100,peak,4.5
Trincomalee,Budget,3332,1864,591,190,130,0,1400,peak,3.8
Sigiriya,Mid-range,8894,1980,1961,200,150,0,1500,off-peak,3.8
