tourist_id,start_date,end_date,num_days,budget_usd,budget_lkr,travel_preferences,trip_style,accommodation_pct,transport_pct,food_pct,activities_pct,misc_pct
T051,2025-02-01,2025-02-08,7,430,137600,Photography,balanced,0.32,0.23,0.27,0.12,0.06
T052,2025-02-05,2025-02-15,10,2400,768000,Beach,luxury,0.48,0.17,0.20,0.10,0.05
T053,2025-02-10,2025-02-17,7,680,217600,Cultural,comfort,0.38,0.21,0.25,0.11,0.05
T054,2025-02-15,2025-02-20,5,380,121600,Adventure,budget,0.25,0.28,0.31,0.11,0.05
T055,2025-03-01,2025-03-08,7,1100,352000,Historical,comfort,0.39,0.21,0.24,0.11,0.05
T056,2025-03-05,2025-03-19,14,5000,1600000,Relaxation,luxury,0.53,0.14,0.18,0.10,0.05
T057,2025-03-10,2025-03-17,7,560,179200,Nature,budget,0.27,0.26,0.30,0.12,0.05
T058,2025-03-15,2025-03-22,7,820,262400,Food & Dining,comfort,0.35,0.20,0.32,0.08,0.05
T059,2025-04-01,2025-04-08,7,490,156800,Adventure,budget,0.26,0.27,0.31,0.11,0.05
T060,2025-04-05,2025-04-15,10,2600,832000,Beach,luxury,0.49,0.16,0.20,0.10,0.05
T061,2025-04-10,2025-04-17,7,730,233600,Shopping,balanced,0.31,0.22,0.27,0.12,0.08
T062,2025-04-15,2025-04-22,7,1200,384000,Cultural,comfort,0.38,0.21,0.25,0.11,0.05
T063,2025-05-01,2025-05-05,4,300,96000,Adventure,budget,0.25,0.29,0.30,0.11,0.05
T064,2025-05-05,2025-05-19,14,3200,1024000,Relaxation,luxury,0.51,0.15,0.19,0.10,0.05
T065,2025-05-10,2025-05-17,7,780,249600,Nightlife,balanced,0.30,0.24,0.27,0.11,0.08
T066,2025-05-15,2025-05-22,7,900,288000,Historical,comfort,0.38,0.21,0.25,0.11,0.05
T067,2025-06-01,2025-06-08,7,510,163200,Nature,budget,0.27,0.26,0.30,0.12,0.05
T068,2025-06-05,2025-06-15,10,2000,640000,Beach,luxury,0.47,0.17,0.21,0.10,0.05
T069,2025-06-10,2025-06-17,7,650,208000,Food & Dining,comfort,0.35,0.21,0.32,0.07,0.05
T070,2025-06-15,2025-06-22,7,1000,320000,Cultural,comfort,0.38,0.21,0.25,0.11,0.05
T071,2025-07-01,2025-07-08,7,470,150400,Adventure,budget,0.26,0.27,0.31,0.11,0.05
T072,2025-07-05,2025-07-19,14,4500,1440000,Beach,luxury,0.52,0.15,0.18,0.10,0.05
T073,2025-07-10,2025-07-17,7,700,224000,Photography,balanced,0.32,0.22,0.27,0.12,0.07
T074,2025-07-15,2025-07-22,7,850,272000,Food & Dining,comfort,0.35,0.20,0.33,0.07,0.05
T075,2025-08-01,2025-08-08,7,530,169600,Nature,budget,0.27,0.25,0.31,0.12,0.05
T076,2025-08-05,2025-08-15,10,1800,576000,Relaxation,luxury,0.46,0.18,0.21,0.10,0.05
T077,2025-08-10,2025-08-17,7,660,211200,Cultural,comfort,0.37,0.22,0.25,0.11,0.05
T078,2025-08-15,2025-08-20,5,420,134400,Adventure,budget,0.25,0.28,0.31,0.11,0.05
T079,2025-09-01,2025-09-08,7,1300,416000,Historical,comfort,0.39,0.21,0.24,0.11,0.05
T080,2025-09-05,2025-09-15,10,2900,928000,Beach,luxury,0.49,0.16,0.20,0.10,0.05
T081,2025-09-10,2025-09-17,7,580,185600,Shopping,balanced,0.31,0.23,0.27,0.11,0.08
T082,2025-09-15,2025-09-22,7,800,256000,Food & Dining,comfort,0.35,0.20,0.32,0.08,0.05
T083,2025-10-01,2025-10-08,7,460,147200,Adventure,budget,0.26,0.27,0.31,0.11,0.05
T084,2025-10-05,2025-10-19,14,3800,1216000,Relaxation,luxury,0.52,0.15,0.18,0.10,0.05
T085,2025-10-10,2025-10-17,7,720,230400,Nature,budget,0.27,0.25,0.31,0.12,0.05
T086,2025-10-15,2025-10-22,7,1000,320000,Cultural,comfort,0.38,0.21,0.25,0.11,0.05
T087,2025-11-01,2025-11-05,4,340,108800,Adventure,budget,0.25,0.28,0.31,0.11,0.05
T088,2025-11-05,2025-11-15,10,2200,704000,Beach,luxury,0.47,0.17,0.21,0.10,0.05
T089,2025-11-10,2025-11-17,7,600,192000,Nightlife,balanced,0.30,0.24,0.28,0.10,0.08
T090,2025-11-15,2025-11-22,7,900,288000,Food & Dining,comfort,0.35,0.20,0.33,0.07,0.05
T091,2025-12-01,2025-12-08,7,1500,480000,Relaxation,luxury,0.46,0.18,0.21,0.10,0.05
T092,2025-12-05,2025-12-10,5,500,160000,Cultural,comfort,0.37,0.22,0.25,0.11,0.05
T093,2025-12-10,2025-12-24,14,4200,1344000,Beach,luxury,0.53,0.14,0.18,0.10,0.05
T094,2025-12-15,2025-12-22,7,750,240000,Historical,comfort,0.38,0.21,0.25,0.11,0.05
T095,2026-01-01,2026-01-08,7,540,172800,Nature,budget,0.27,0.25,0.31,0.12,0.05
T096,2026-01-05,2026-01-15,10,1900,608000,Relaxation,luxury,0.47,0.17,0.21,0.10,0.05
T097,2026-01-10,2026-01-17,7,620,198400,Adventure,budget,0.26,0.27,0.30,0.12,0.05
T098,2026-01-15,2026-01-22,7,980,313600,Food & Dining,comfort,0.35,0.20,0.32,0.08,0.05
T099,2026-02-01,2026-02-08,7,440,140800,Photography,balanced,0.32,0.23,0.27,0.12,0.06
T100,2026-02-05,2026-02-15,10,2700,864000,Beach,luxury,0.49,0.16,0.20,0.10,0.05
